t,y_obs
0.1,1010.0
0.1292929292929293,1013.0
0.1585858585858586,1012.0
0.1878787878787879,1015.0
0.21717171717171718,1014.0
0.24646464646464647,1018.0
0.27575757575757576,1018.0
0.305050505050505,1023.0
0.3343434343434344,1027.0
0.36363636363636365,1036.0
0.39292929292929296,1036.0
0.4222222222222222,1042.0
0.45151515151515154,1046.0
0.48080808080808085,1054.0
0.51010101010101,1054.0
0.5393939393939394,1062.0
0.5686868686868687,1063.0
0.597979797979798,1067.0
0.6272727272727272,1069.0
0.6565656565656565,1071.0
0.685858585858586,1072.0
0.7151515151515151,1074.0
0.7444444444444445,1078.0
0.7737373737373738,1077.0
0.8030303030303031,1069.0
0.8323232323232324,1071.0
0.8616161616161617,1066.0
0.8909090909090909,1081.0
0.9202020202020201,1081.0
0.9494949494949495,1078.0
0.9787878787878789,1079.0
1.0080808080808081,1081.0
1.0373737373737373,1077.0
1.0666666666666667,1084.0
1.095959595959596,1088.0
1.1252525252525252,1094.0
1.1545454545454545,1096.0
1.183838383838384,1094.0
1.213131313131313,1093.0
1.2424242424242422,1102.0
1.2717171717171718,1110.0
1.301010101010101,1118.0
1.3303030303030303,1129.0
1.3595959595959597,1135.0
1.3888888888888888,1138.0
1.418181818181818,1152.0
1.4474747474747476,1148.0
1.4767676767676767,1151.0
1.506060606060606,1155.0
1.5353535353535355,1163.0
1.5646464646464646,1169.0
1.593939393939394,1159.0
1.6232323232323234,1168.0
1.6525252525252525,1174.0
1.6818181818181817,1179.0
1.7111111111111112,1187.0
1.7404040404040402,1190.0
1.76969696969697,1200.0
1.798989898989899,1197.0
1.828282828282828,1210.0
1.8575757575757577,1201.0
1.8868686868686868,1202.0
1.9161616161616162,1200.0
1.9454545454545455,1216.0
1.9747474747474747,1218.0
2.004040404040404,1220.0
2.033333333333333,1228.0
2.062626262626263,1234.0
2.091919191919192,1231.0
2.121212121212121,1240.0
2.1505050505050503,1241.0
2.17979797979798,1247.0
2.209090909090909,1252.0
2.238383838383838,1253.0
2.2676767676767677,1259.0
2.296969696969697,1266.0
2.326262626262626,1266.0
2.3555555555555556,1271.0
2.3848484848484843,1274.0
2.4141414141414144,1280.0
2.4434343434343435,1290.0
2.4727272727272727,1303.0
2.5020202020202023,1299.0
2.5313131313131314,1299.0
2.5606060606060606,1301.0
2.5898989898989897,1301.0
2.6191919191919197,1310.0
2.6484848484848484,1314.0
2.6777777777777776,1310.0
2.707070707070707,1314.0
2.7363636363636363,1309.0
2.765656565656566,1315.0
2.794949494949495,1316.0
2.824242424242424,1323.0
2.853535353535354,1329.0
2.882828282828283,1336.0
2.912121212121212,1340.0
2.9414141414141413,1334.0
2.970707070707071,1342.0
3.0,1341.0
