parameter,xtol_rel,optimisation_calls,likelihood_calls
1,0.0,30,25048
2,0.0,8,5770
3,0.0,25,21190
4,0.0,31,24069
5,0.0,14,9132
6,0.0,23,19888
7,0.0,20,16044
8,0.0,19,13936
9,0.0,19,14135
1,1.0e-20,30,20197
2,1.0e-20,8,4428
3,1.0e-20,25,16886
4,1.0e-20,31,15790
5,1.0e-20,14,6781
6,1.0e-20,23,14963
7,1.0e-20,20,12688
8,1.0e-20,19,10748
9,1.0e-20,19,10944
1,1.0e-16,30,18525
2,1.0e-16,8,4029
3,1.0e-16,25,15885
4,1.0e-16,31,14389
5,1.0e-16,14,6187
6,1.0e-16,23,13413
7,1.0e-16,20,11841
8,1.0e-16,19,9748
9,1.0e-16,19,10165
1,1.0e-12,30,17464
2,1.0e-12,8,3875
3,1.0e-12,25,14704
4,1.0e-12,31,13133
5,1.0e-12,14,5502
6,1.0e-12,23,11564
7,1.0e-12,20,10566
8,1.0e-12,19,8829
9,1.0e-12,19,8967
1,1.0e-8,30,15255
2,1.0e-8,8,3197
3,1.0e-8,25,12981
4,1.0e-8,31,11386
5,1.0e-8,14,4529
6,1.0e-8,23,10599
7,1.0e-8,20,9566
8,1.0e-8,19,8017
9,1.0e-8,19,8056
