parameter1,parameter2,method_key,num_points,optimisation_calls,likelihood_calls
1,2,1,10,310,35387
1,3,1,10,438,39699
2,3,1,10,298,27813
1,2,1,20,756,85768
1,3,1,20,624,57953
2,3,1,20,365,36412
1,2,1,30,985,111745
1,3,1,30,955,89031
2,3,1,30,808,77701
1,2,1,40,1112,125219
1,3,1,40,1451,132321
2,3,1,40,994,97019
1,2,1,50,1668,190137
1,3,1,50,1861,170205
2,3,1,50,1193,115722
1,2,1,60,1822,208461
1,3,1,60,2059,190722
2,3,1,60,1424,136755
1,2,1,70,2183,247261
1,3,1,70,2466,227570
2,3,1,70,1993,190779
1,2,1,80,2047,229453
1,3,1,80,3032,278362
2,3,1,80,1897,183018
1,2,1,90,3071,348668
1,3,1,90,2889,265276
2,3,1,90,2189,211237
1,2,1,100,3596,408409
1,3,1,100,3352,306496
2,3,1,100,2756,266716
1,2,1,110,3378,383385
1,3,1,110,4272,395324
2,3,1,110,2526,244089
1,2,1,120,3798,431011
1,3,1,120,3852,350094
2,3,1,120,3124,302786
1,2,2,10,87,9217
1,3,2,10,128,11513
2,3,2,10,91,8810
1,2,2,20,199,20526
1,3,2,20,183,16358
2,3,2,20,183,16881
1,2,2,30,298,30923
1,3,2,30,409,37331
2,3,2,30,285,27482
1,2,2,40,475,50339
1,3,2,40,601,53767
2,3,2,40,397,38288
1,2,2,50,584,63494
1,3,2,50,526,48726
2,3,2,50,536,52023
1,2,2,60,778,83115
1,3,2,60,737,67728
2,3,2,60,590,56840
1,2,2,70,818,90323
1,3,2,70,850,80559
2,3,2,70,665,64636
1,2,2,80,765,79571
1,3,2,80,939,86508
2,3,2,80,896,86750
1,2,2,90,1112,122381
1,3,2,90,1186,110618
2,3,2,90,881,86081
1,2,2,100,1189,130727
1,3,2,100,1379,124659
2,3,2,100,1070,104402
1,2,2,110,1405,152217
1,3,2,110,1384,130376
2,3,2,110,1125,109416
1,2,2,120,1528,166481
1,3,2,120,1494,137598
2,3,2,120,1157,113361
1,2,3,10,138,14321
1,3,3,10,128,11659
2,3,3,10,120,11378
1,2,3,20,226,21874
1,3,3,20,293,27002
2,3,3,20,240,23342
1,2,3,30,465,50274
1,3,3,30,385,36338
2,3,3,30,346,32232
1,2,3,40,535,56966
1,3,3,40,565,52272
2,3,3,40,512,48824
1,2,3,50,746,79251
1,3,3,50,732,67508
2,3,3,50,637,59374
1,2,3,60,742,77396
1,3,3,60,962,89176
2,3,3,60,766,72693
1,2,3,70,1020,109421
1,3,3,70,1046,95369
2,3,3,70,911,86378
1,2,3,80,1040,109654
1,3,3,80,1228,114129
2,3,3,80,988,94514
1,2,3,90,1222,131318
1,3,3,90,1310,117090
2,3,3,90,1104,102174
1,2,3,100,1205,125536
1,3,3,100,1613,148357
2,3,3,100,1309,122405
1,2,3,110,1561,169114
1,3,3,110,1701,156335
2,3,3,110,1385,131879
1,2,3,120,1504,160701
1,3,3,120,1731,157353
2,3,3,120,1481,139926
1,2,4,10,98,10361
1,3,4,10,108,10009
2,3,4,10,109,10145
1,2,4,20,184,19213
1,3,4,20,212,19615
2,3,4,20,215,19378
1,2,4,30,290,29529
1,3,4,30,340,31342
2,3,4,30,315,29874
1,2,4,40,381,39596
1,3,4,40,442,40360
2,3,4,40,429,39953
1,2,4,50,486,50275
1,3,4,50,550,50207
2,3,4,50,537,50292
1,2,4,60,578,60208
1,3,4,60,666,60792
2,3,4,60,641,59607
1,2,4,70,661,67019
1,3,4,70,778,71883
2,3,4,70,752,70984
1,2,4,80,762,78480
1,3,4,80,891,82120
2,3,4,80,853,79388
1,2,4,90,854,89571
1,3,4,90,995,91358
2,3,4,90,960,90454
1,2,4,100,959,96143
1,3,4,100,1108,101590
2,3,4,100,1074,99604
1,2,4,110,1056,105881
1,3,4,110,1228,112782
2,3,4,110,1179,110450
1,2,4,120,1155,117748
1,3,4,120,1334,122335
2,3,4,120,1282,119435
1,2,5,10,93,9558
1,3,5,10,103,9554
2,3,5,10,105,9456
1,2,5,20,315,33034
1,3,5,20,248,22690
2,3,5,20,293,27230
1,2,5,30,487,51385
1,3,5,30,405,37171
2,3,5,30,489,46247
1,2,5,40,733,77114
1,3,5,40,541,49052
2,3,5,40,701,65835
1,2,5,50,970,102133
1,3,5,50,690,62837
2,3,5,50,895,83539
1,2,5,60,1066,112341
1,3,5,60,849,77591
2,3,5,60,1095,104260
1,2,5,70,1136,120749
1,3,5,70,1005,91767
2,3,5,70,1335,126345
1,2,5,80,1271,134409
1,3,5,80,1219,110821
2,3,5,80,1573,147900
1,2,5,90,1406,147220
1,3,5,90,1325,120590
2,3,5,90,1799,168390
1,2,5,100,1542,160706
1,3,5,100,1396,127496
2,3,5,100,2018,188615
1,2,5,110,1688,177044
1,3,5,110,1470,134438
2,3,5,110,2225,209380
1,2,5,120,1829,191571
1,3,5,120,1556,142490
2,3,5,120,2437,229974
